AR;alder;Kon;inc_cvd;inc_ccr
2006;0;1;;6
2006;0;2;;8
2006;1;1;;11
2006;1;2;;5
2006;2;1;;8
2006;2;2;;11
2006;3;1;;6
2006;3;2;;6
2006;4;1;;14
2006;4;2;;4
2006;5;1;;15
2006;5;2;;4
2006;6;1;;9
2006;6;2;;6
2006;7;1;;6
2006;7;2;;10
2006;8;1;;6
2006;8;2;;2
2006;9;1;;3
2006;9;2;;5
2006;10;1;;6
2006;10;2;;3
2006;11;1;;3
2006;11;2;;6
2006;12;1;;9
2006;12;2;;5
2006;13;1;;9
2006;13;2;;7
2006;14;1;;9
2006;14;2;;9
2006;15;1;;7
2006;15;2;;7
2006;16;1;;14
2006;16;2;;11
2006;17;1;;12
2006;17;2;;4
2006;18;1;;11
2006;18;2;;13
2006;19;1;;11
2006;19;2;;16
2006;20;1;;13
2006;20;2;;12
2006;21;1;;21
2006;21;2;;18
2006;22;1;;24
2006;22;2;;16
2006;23;1;;29
2006;23;2;;16
2006;24;1;;27
2006;24;2;;18
2006;25;1;;25
2006;25;2;;25
2006;26;1;;28
2006;26;2;;31
2006;27;1;;36
2006;27;2;;27
2006;28;1;;29
2006;28;2;;42
2006;29;1;;35
2006;29;2;;45
2006;30;1;;27
2006;30;2;;42
2006;31;1;;36
2006;31;2;;60
2006;32;1;;37
2006;32;2;;60
2006;33;1;;30
2006;33;2;;71
2006;34;1;;40
2006;34;2;;71
2006;35;1;;46
2006;35;2;;83
2006;36;1;;33
2006;36;2;;63
2006;37;1;;54
2006;37;2;;65
2006;38;1;;58
2006;38;2;;103
2006;39;1;;60
2006;39;2;;102
2006;40;1;;59
2006;40;2;;128
2006;41;1;;66
2006;41;2;;157
2006;42;1;;68
2006;42;2;;150
2006;43;1;;75
2006;43;2;;144
2006;44;1;;46
2006;44;2;;177
2006;45;1;;91
2006;45;2;;177
2006;46;1;;96
2006;46;2;;201
2006;47;1;;109
2006;47;2;;186
2006;48;1;;107
2006;48;2;;222
2006;49;1;;119
2006;49;2;;244
2006;50;1;;147
2006;50;2;;325
2006;51;1;;146
2006;51;2;;270
2006;52;1;;183
2006;52;2;;272
2006;53;1;;226
2006;53;2;;265
2006;54;1;;245
2006;54;2;;289
2006;55;1;;271
2006;55;2;;315
2006;56;1;;313
2006;56;2;;360
2006;57;1;;369
2006;57;2;;410
2006;58;1;;463
2006;58;2;;464
2006;59;1;;520
2006;59;2;;477
2006;60;1;;541
2006;60;2;;562
2006;61;1;;628
2006;61;2;;546
2006;62;1;;712
2006;62;2;;597
2006;63;1;;770
2006;63;2;;591
2006;64;1;;771
2006;64;2;;527
2006;65;1;;670
2006;65;2;;526
2006;66;1;;688
2006;66;2;;474
2006;67;1;;729
2006;67;2;;499
2006;68;1;;762
2006;68;2;;485
2006;69;1;;721
2006;69;2;;481
2006;70;1;;686
2006;70;2;;471
2006;71;1;;689
2006;71;2;;447
2006;72;1;;638
2006;72;2;;454
2006;73;1;;686
2006;73;2;;498
2006;74;1;;711
2006;74;2;;447
2006;75;1;;724
2006;75;2;;465
2006;76;1;;726
2006;76;2;;492
2006;77;1;;667
2006;77;2;;472
2006;78;1;;659
2006;78;2;;493
2006;79;1;;635
2006;79;2;;432
2006;80;1;;598
2006;80;2;;414
2006;81;1;;601
2006;81;2;;455
2006;82;1;;541
2006;82;2;;390
2006;83;1;;525
2006;83;2;;430
2006;84;1;;450
2006;84;2;;412
2006;85;1;;453
2006;85;2;;402
2006;86;1;;384
2006;86;2;;408
2006;87;1;;256
2006;87;2;;269
2006;88;1;;248
2006;88;2;;241
2006;89;1;;183
2006;89;2;;211
2006;90;1;;126
2006;90;2;;172
2006;91;1;;97
2006;91;2;;131
2006;92;1;;66
2006;92;2;;118
2006;93;1;;54
2006;93;2;;81
2006;94;1;;43
2006;94;2;;77
2006;95;1;;23
2006;95;2;;40
2006;96;1;;20
2006;96;2;;33
2006;97;1;;9
2006;97;2;;23
2006;98;1;;7
2006;98;2;;18
2006;99;1;;5
2006;99;2;;4
2006;100;1;;3
2006;100;2;;5
2007;0;1;;0
2007;0;2;;9
2007;1;1;;13
2007;1;2;;14
2007;2;1;;10
2007;2;2;;8
2007;3;1;;11
2007;3;2;;8
2007;4;1;;6
2007;4;2;;4
2007;5;1;;9
2007;5;2;;5
2007;6;1;;9
2007;6;2;;6
2007;7;1;;5
2007;7;2;;5
2007;8;1;;5
2007;8;2;;4
2007;9;1;;7
2007;9;2;;2
2007;10;1;;4
2007;10;2;;3
2007;11;1;;3
2007;11;2;;1
2007;12;1;;5
2007;12;2;;4
2007;13;1;;5
2007;13;2;;8
