AR;alder;Kon;prev_cvd;prev_ccr;totpop
2010;3;1;0;31;83
2010;3;2;0;32;95
2010;4;1;7;36;95
2010;4;2;11;33;95
2010;5;1;9;39;93
2010;5;2;10;28;91
2010;6;1;13;39;110
2010;6;2;10;21;93
2010;7;1;7;23;90
2010;7;2;6;12;75
2010;8;1;10;29;110
2010;8;2;10;19;94
2010;9;1;9;28;109
2010;9;2;14;14;95
2010;10;1;10;21;105
2010;10;2;8;17;93
2010;11;1;7;17;87
2010;11;2;5;18;104
2010;12;1;17;21;133
2010;12;2;11;12;95
2010;13;1;12;13;127
2010;13;2;10;16;96
2010;14;1;13;22;144
2010;14;2;10;20;140
2010;15;1;16;32;56644
2010;15;2;19;24;53350
2010;16;1;18;53;61103
2010;16;2;15;45;58072
2010;17;1;20;51;64071
2010;17;2;30;50;60685
2010;18;1;40;75;67441
2010;18;2;40;66;63305
2010;19;1;125;68;68838
2010;19;2;118;77;64707
2010;20;1;639;84;69133
2010;20;2;498;65;65825
2010;21;1;677;76;65514
2010;21;2;461;67;62624
2010;22;1;678;70;64625
2010;22;2;466;75;61701
2010;23;1;602;86;61565
2010;23;2;385;103;59587
2010;24;1;577;96;61959
2010;24;2;376;89;59081
2010;25;1;603;98;61474
2010;25;2;439;121;58023
2010;26;1;523;117;59890
2010;26;2;449;119;56444
2010;27;1;542;123;59046
2010;27;2;414;121;55605
2010;28;1;511;123;59611
2010;28;2;459;119;56113
2010;29;1;531;140;58978
2010;29;2;483;166;56330
2010;30;1;575;147;60909
2010;30;2;555;162;58149
2010;31;1;590;150;59597
2010;31;2;495;202;56900
2010;32;1;585;153;57773
2010;32;2;541;216;55451
2010;33;1;631;179;58947
2010;33;2;583;260;56314
2010;34;1;708;162;59883
2010;34;2;605;266;57448
2010;35;1;784;188;62212
2010;35;2;722;328;60058
2010;36;1;882;211;64944
2010;36;2;776;357;62770
2010;37;1;882;202;64029
2010;37;2;776;358;62132
2010;38;1;990;226;65193
2010;38;2;829;383;63300
2010;39;1;984;223;65209
2010;39;2;863;425;63400
2010;40;1;1121;229;63476
