year;sex;rate
2000;1;0.019681200021277
2000;2;0.0184995681281076
2001;1;0.0199167382485625
2001;2;0.0187294576155602
2002;1;0.0208218243299591
2002;2;0.0197385493089095
2003;1;0.0217416918229818
2003;2;0.020435420828961
2004;1;0.0222894563045175
2004;2;0.0209934729095728
2005;1;0.0224329847130133
2005;2;0.0212577922245885
2006;1;0.023455712774609
2006;2;0.0221413524952396
2007;1;0.0236993126388757
2007;2;0.0223710806541746
2008;1;0.0239269148919909
2008;2;0.0224820098065025
2009;1;0.0240674410135719
2009;2;0.0226764262082743
2010;1;0.0244413896423001
2010;2;0.0231535710316954
2011;1;0.0232819181646987
2011;2;0.0222074620165507
2012;1;0.0234137808480417
2012;2;0.0221398708863073
2013;1;0.0232761805281327
2013;2;0.0219422346916678
2014;1;0.0232574979437472
2014;2;0.0219631409310398
2015;1;0.0231836951617415
2015;2;0.0215733321072807
2016;1;0.0230615788862758
2016;2;0.0219222719940054
2017;1;0.0224314129878468
2017;2;0.0212597781351359
2018;1;0.0223038953983909
2018;2;0.0210919104217595
2019;1;0.0219022051432059
2019;2;0.0206100188426822
2020;1;0.0216083522323883
2020;2;0.0203353089244342
2021;1;0.0215945997438999
2021;2;0.020595085654702
2022;1;0.0213341816210222
2022;2;0.0201639347396512
2023;1;0.0210185998888398
2023;2;0.0198656636568513
2024;1;0.0207494193433407
2024;2;0.0196112485098799
2025;1;0.0204602224437163
2025;2;0.0193379149686866
2026;1;0.0206197987749757
2026;2;0.0194887380368813
2027;1;0.0207696075165584
2027;2;0.0196303292983772
2028;1;0.0209558901675868
2028;2;0.0198063937608061
2029;1;0.0211733431145209
2029;2;0.0200119187304915
2030;1;0.0214375609894981
2030;2;0.020261643425009
2031;1;0.0214526373329438
2031;2;0.0202758927836557
2032;1;0.0215022732789761
2032;2;0.0203228060421212
2033;1;0.0215640051498169
2033;2;0.0203811517259211
2034;1;0.0216372501367534
2034;2;0.0204503789952315
2035;1;0.0217026725079201
2035;2;0.020512212743821
2036;1;0.0217106579827489
2036;2;0.0205197601902698
2037;1;0.0217435857352132
2037;2;0.0205508817520718
2038;1;0.0218036497050235
